param-n autorewrite-noop-regression-quadratic-real autorewrite-noop-regression-quadratic-sys autorewrite-noop-regression-quadratic-user try-rewrite!-noop-regression-quadratic-real try-rewrite!-noop-regression-quadratic-sys try-rewrite!-noop-regression-quadratic-user try-rewrite-noop-regression-quadratic-real try-rewrite-noop-regression-quadratic-sys try-rewrite-noop-regression-quadratic-user try-rewrite?-noop-regression-quadratic-real try-rewrite?-noop-regression-quadratic-sys try-rewrite?-noop-regression-quadratic-user try-ssr-rewrite!-noop-regression-linear-real try-ssr-rewrite!-noop-regression-linear-sys try-ssr-rewrite!-noop-regression-linear-user try-ssr-rewrite-noop-regression-linear-real try-ssr-rewrite-noop-regression-linear-sys try-ssr-rewrite-noop-regression-linear-user try-ssr-rewrite?-noop-regression-linear-real try-ssr-rewrite?-noop-regression-linear-sys try-ssr-rewrite?-noop-regression-linear-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
12 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
16 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
20 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
24 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
28 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
32 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
36 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
40 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
44 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
48 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
50 0.001 0. 0. 0.001 0. 0. 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
52 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
56 0.001 0. 0.001 0.001 0. 0.001 0.069 0.011 0.057 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
60 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
64 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
68 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
72 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
76 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
80 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
84 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
88 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
92 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
96 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 0.002 0. 0.002 0.002 0.002 0. 0.002 0.001 0.001 0.002 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
104 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
108 0.001 0. 0.001 0.002 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
112 0.001 0. 0.001 0.002 0. 0.002 0.001 0. 0.001 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
116 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
120 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
124 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
128 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0. 0. 0. 0. 0. 0. 0. 0. 0.
132 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
136 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.003 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
140 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
144 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002 0. 0. 0. 0. 0. 0.
148 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
150 0.004 0.002 0.001 0.004 0. 0.004 0.004 0.004 0. 0.004 0. 0.004 0. 0. 0. 0. 0. 0. 0. 0. 0.
152 0.003 0. 0.003 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
156 0.003 0. 0.003 0.003 0. 0.003 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
160 0.003 0. 0.003 0.003 0. 0.003 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
164 0.003 0. 0.003 0.003 0. 0.003 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
